user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
490,SWE,0,68,173,21,STUDENT BUM,0,126,750,2
500,GBR,0,68,170,22,UNEMPLTED,0,81,800,3
514,AUT,0,63,176,20,STUDENT,0,29,1200,4
515,USA,0,73,196,20,MIXED,0,90,900,3
521,GBR,0,73,178,29,INDUSTRIAL ROPE ACCESS TECHNICIAN,0,29,1000,4
531,FRA,0,68,180,20,ETUDIANT,0,50,800,3
533,HRV,0,73,181,20,COMPETENCE MANAGER - ERICSSON,1,207,650,2
536,HRV,0,63,173,27,"ENGINEER OF CHEMISTRY, TRAINEE ASSISTANT AT THE INSTITUTE RU&#273;ER BO&#353;KOVI&#263; IN ZAGREB",1,28,1150,4
554,NOR,0,68,190,20,STUDENT,0,37,800,3
556,SWE,0,78,180,20,TELECOM RELATIONS,0,10,500,2
557,SWE,0,68,176,20,COMPUTER NERD.,1,34,800,3
558,SWE,0,68,170,20,STILL DON´T KNOW,0,111,850,3
562,ITA,0,53,163,23,STUDENT,0,38,950,3
576,CAN,0,58,167,23,BUM & ROUTE SETTER,0,166,1100,4
583,NOR,0,78,183,25,PHYSIOTHERAPIST/PHD STUDENT,1,538,1200,4
592,AUT,0,53,168,25,OEAV,1,13,1050,4
594,CAN,0,73,172,22,CLIMBING,1,75,1200,4
602,ZAF,0,73,180,20,STUDENT,0,248,700,2
612,CHE,0,63,177,21,STUDENT / BANK CLERK,1,15,650,2
613,FRA,0,73,182,5,GUIDE OF CLIMBING AND CANYONING,1,10,900,3
617,SWE,0,73,179,2020,PHD STUDENT,0,66,900,3
626,SWE,0,78,179,25,STUDENT AND BARTENDER,0,18,750,2
632,AUT,0,63,172,22,STUDENT,0,139,800,3
639,SWE,0,73,186,31,PROJECT COORDINATOR,1,257,750,2
647,SWE,0,83,187,21,OFFICE RAT / STUDENT,0,40,800,3
649,BEL,0,73,181,28,IT SUPPORT,0,7,650,2
654,CAN,0,63,171,32,ANALYST/PROGRAMMER,1,552,1200,4
667,USA,0,53,168,22,STUDENT,0,34,850,3
676,USA,0,83,182,23,ROCK CLIMBING GUIDE,1,356,1050,4
678,SWE,0,83,186,30,PSYCHOLOGIST,0,381,900,3
679,SWE,0,63,173,24,STUDENT,0,201,1000,4
685,USA,0,68,160,26,SCIENCE TEACHER,1,140,950,3
686,USA,1,48,145,24,MOM AND GRAD STUDENT,1,107,1050,4
699,SWE,0,73,186,22,ADVENTURER,1,210,1100,4
704,CAN,0,78,185,27,NONE,0,11,750,2
705,PHL,0,53,182,20,STUDENT,1,7,550,2
707,ZAF,0,58,170,20,STUDENT,0,104,950,3
710,ITA,0,53,162,26,PROGRAMMER,1,536,1150,4
714,ITA,0,63,173,20,PHD STUDENT,0,166,1050,4
720,SWE,0,73,174,24,EXCHANGE BROKER,0,94,1000,4
722,ZAF,0,73,186,23,CURRENTLY NON :(,1,725,1150,4
727,CAN,0,68,175,28,GYMNASTICS COACH,0,71,1050,4
735,ZAF,0,73,177,38,IT MANAGER,0,130,1050,4
736,ZAF,0,63,177,29,LAWYER,0,117,900,3
743,SWE,0,78,187,24,STUDENT,0,38,900,3
746,ZAF,0,68,183,41,PROFESSOR OF CHEMICAL ENGINEERING,0,31,850,3
751,DNK,0,68,177,26,BABYSITTER,1,62,1100,4
764,ITA,0,58,173,32,TEACHER,0,27,1100,4
766,GBR,0,73,180,30,STUDENT,0,46,850,3
771,ZAF,0,73,179,25,ACCOUNTANT,0,196,900,3
775,SWE,0,78,189,26,WEBDEVELOPER,1,109,1000,4
777,ZAF,0,78,173,34,ACCOUNTANT,1,58,1000,4
784,DEU,0,68,176,31,AEROSPACE ENGINEER,1,176,1050,4
785,MEX,0,88,176,25,CINEASTA / MOVIEMAKER,1,12,700,2
787,MEX,0,73,186,24,FINNANCIAL CONSULTANT,0,94,950,3
795,AUS,0,73,178,31,DEFENCE,0,9,550,2
797,DEU,0,68,182,20,IT,0,30,1000,4
803,USA,0,63,165,25,ROUTE SETTER,1,497,1100,4
806,MEX,0,68,167,25,SALES,0,1,350,1
812,CAN,0,68,175,29,SOFTWARE DESIGNER,0,369,1000,4
815,ITA,0,83,192,26,CONSULTANT,0,43,850,3
816,FRA,0,68,178,30,EB - CLIMBING SHOES,1,113,1200,4
821,ESP,0,68,170,24,BOMBERO,1,503,1200,4
823,USA,0,73,178,23,CARPENTER,1,614,1150,4
847,AUS,0,63,169,22,STUDENT,0,402,850,3
851,GRC,0,63,175,29,ENGINEER / PROFESSOR,1,382,1200,4
855,USA,0,93,180,20,GEAR JUNKIE,0,42,650,2
863,CHE,0,68,175,23,"MICROBIOLOGA, CLIMBING GUIDE",1,641,1150,4
865,GRC,0,63,176,20,MECHANICAL ENGINEER,0,12,650,2
868,CAN,0,68,177,20,CLIMBING GYM EMPLOYEE,1,57,750,2
869,SWE,0,73,181,41,BERG FüRHER,1,281,900,3
889,SWE,0,78,176,20,COMPUTER CONSULTANT,0,6,350,1
892,USA,0,73,5,29,TREE TRIMMER,1,59,950,3
893,JPN,0,78,180,23,GRAD STUDENT,0,1,600,2
901,USA,0,83,172,20,STRUCTURAL ENGINEER,0,4,500,2
902,AUT,0,63,166,24,PROGRAMMER,0,204,1200,4
910,POL,0,63,178,33,PUBLISHER,1,336,1100,4
915,CAN,1,48,151,22,STUDENT,1,68,700,2
925,USA,0,63,178,19,STUDENT/CLIMBER,0,39,750,2
950,FRA,0,73,181,33,ENGINEER,0,372,1100,4
951,NZL,0,83,182,22,ACCOUNTANT,0,228,950,3
953,GBR,0,73,185,30,ECOLOGIST,1,35,900,3
959,SWE,0,73,188,27,STUDENT,0,38,900,3
963,SVN,0,73,172,20,STUDENT,0,69,1000,4
966,SWE,0,73,172,26,PHD. STUDENT,0,40,700,2
967,ZAF,0,73,193,25,GEOPHYSICIST,0,51,800,3
968,USA,0,78,71,21,"STUDENT, BUM, WISEMAN",0,66,750,2
