user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
22954,GRC,0,73,180,19,FREELANCE PHOTOGRAPHER,0,59,950,3
22956,AUT,0,43,156,12,,1,11,550,2
22957,JOR,1,0,255,-70,STUDENT,0,5,950,3
22958,HUN,0,58,170,13,,0,134,1050,4
22960,BEL,0,63,175,16,,1,428,1000,4
22961,DNK,0,0,171,21,,0,182,1000,4
22964,POL,0,58,169,18,,0,125,1100,4
22965,NOR,0,83,192,20,DOCTOR,0,13,900,3
22967,ISL,0,0,0,14,,0,2,950,3
22970,BRA,0,68,175,13,ESTAGIáRIO,0,39,700,2
22971,CHE,1,48,164,11,STUDENT,1,161,850,3
22972,HRV,0,63,175,15,,0,71,1000,4
22973,UKR,0,58,180,14,,0,65,850,3
22975,POL,1,48,160,13,,0,310,1000,4
22976,ITA,0,0,0,27,,0,22,750,2
22977,USA,0,68,0,29,SKI TECH / FLOOR WARRIOR,1,4,600,2
22978,FRA,0,0,0,12,,0,5,300,1
22982,COL,0,73,185,2020,,0,7,1100,4
22983,FRA,0,58,179,16,éTUDIANT,1,9,1150,4
22984,ESP,0,73,173,2020,,0,257,1150,4
22985,CAN,0,78,0,21,NAVAL ARCHITECT,0,366,900,3
22986,VEN,0,83,185,22,DISEñADOR GRAFICO,0,177,1000,4
22987,USA,0,0,0,2020,,0,7,850,3
22988,USA,0,0,0,49,ENGINEER,0,111,1100,4
22990,FIN,0,93,183,21,,0,179,750,2
22992,GBR,1,58,160,17,TEACHER,1,65,850,3
22994,IRL,1,78,180,12,,0,1,300,1
22995,BRA,0,63,182,17,,0,268,900,3
22997,POL,0,68,185,2020,,0,28,700,2
22998,BRA,0,68,161,13,,0,6,400,1
22999,BEL,0,73,190,14,SCHOOL,1,567,1000,4
23000,AUT,0,63,169,18,SALESMAN F. TRUCKS,0,6,750,2
23003,USA,0,73,0,13,,0,1,700,2
23004,USA,0,83,0,14,,0,6,850,3
23005,HRV,0,58,165,20,STUDENT,0,45,1050,4
23006,RUS,0,68,185,22,,0,142,1250,4
23008,BEL,0,68,184,20,,0,610,950,3
23009,FRA,0,63,173,2020,,0,252,1000,4
23012,FRA,0,53,163,27,,1,47,850,3
23014,AUS,0,73,187,16,,0,248,850,3
23015,ESP,0,73,175,24,WARRIOR IN TRAINING,0,240,1000,4
23016,PRT,0,68,170,2020,,0,243,850,3
23020,ESP,0,58,167,2020,AUTONOMO,1,43,1150,4
23022,DEU,1,0,0,2020,,0,1,160,1
23023,CHE,1,58,170,21,CLIMBING,1,198,1150,4
23024,FRA,0,0,168,29,,0,357,850,3
23027,USA,0,0,0,2020,,0,48,850,3
23028,ITA,1,48,158,12,GANSTER WIFE,0,32,700,2
23029,AUT,1,53,0,16,,0,47,900,3
23032,ESP,1,48,161,13,,0,68,700,2
23034,ESP,1,0,160,12,X,0,39,400,1
23036,ESP,0,68,0,19,GEOGRAFO,0,99,900,3
23039,DEU,0,63,174,16,,0,240,900,3
23040,ESP,0,78,179,2020,,0,126,1050,4
23041,DEU,0,68,178,17,,0,15,600,2
23042,GBR,0,68,180,13,SCHOOL,1,342,1000,4
23044,FRA,0,68,180,2020,,0,266,1050,4
23045,ESP,0,73,181,18,,0,74,900,3
23046,NOR,0,0,176,19,,0,8,800,3
23048,FRA,0,73,187,23,,0,164,1000,4
23050,ESP,0,0,0,2020,,0,2,350,1
23053,POL,0,78,177,14,,0,241,850,3
23054,ESP,0,78,181,32,OFICIAL DE CABALLERIA,0,27,850,3
23055,EGY,0,0,150,118,,0,6,800,3
23056,USA,1,40,255,2020,ROCK CLIMBER.,0,14,300,1
23058,AUT,0,73,179,18,,1,61,1200,4
23060,POL,0,68,174,2020,,0,2,750,2
23062,USA,0,78,187,48,DATA LIBRARIAN,1,86,1000,4
23063,ESP,0,68,182,12,BOMBERO AEROPUERTO,0,844,1050,4
23066,FRA,0,63,170,25,DOCTEUR DE LA PEAU,0,61,800,3
23067,SWE,0,83,180,19,,0,7,550,2
23068,GBR,0,78,183,15,STUDENT,0,105,900,3
23069,POL,0,68,177,12,,0,48,550,2
23070,ESP,0,58,171,13,ESTUDIANT,0,142,800,3
23071,GBR,0,73,172,19,,0,9,900,3
23072,AUT,0,0,185,15,,0,4,700,2
23073,POL,1,0,0,2020,,0,2,450,1
23074,POL,1,63,178,18,,0,41,550,2
23075,HRV,0,73,179,20,,1,2,600,2
23076,HRV,0,78,176,20,,0,6,750,2
23079,BGR,1,43,164,14,,1,37,1000,4
23081,ZAF,0,63,176,17,,0,6,750,2
23084,AUT,0,68,173,13,,1,5,650,2
23086,FRA,0,68,183,27,STUDENT,0,75,1050,4
23090,FIN,0,88,186,12,,0,6,500,2
23091,ITA,0,0,0,2020,,0,1,700,2
23092,NOR,0,83,190,16,,0,508,1050,4
23094,FRA,0,0,0,22,,1,4,1200,4
23096,FIN,0,73,0,15,,0,36,800,3
23097,ESP,0,0,171,2020,PROFESOR,0,387,900,3
23098,ITA,0,58,173,2020,,0,46,600,2
23101,PRT,0,68,178,13,,0,264,700,2
23103,DEU,0,0,180,20,,0,178,1000,4
23106,USA,1,53,0,19,,0,126,950,3
23107,CAN,0,73,180,29,,0,83,1000,4
23110,ZAF,0,83,183,12,,0,2,300,1
23111,USA,0,68,0,13,,1,11,950,3
23112,USA,0,73,182,14,,0,15,450,1
23115,NOR,1,63,165,2020,,0,1,450,1
23118,RUS,0,63,170,2020,,0,61,1050,4
23119,FIN,0,83,184,14,,0,12,500,2
23121,FIN,0,63,170,12,,0,1,350,1
23122,DEU,0,68,180,17,,0,187,850,3
23124,ITA,0,53,170,12,,0,18,700,2
23127,ESP,1,0,0,12,,0,7,400,1
23128,NOR,1,58,175,14,STUDENT,1,24,550,2
23129,GBR,0,58,169,21,SALES EXECUTIVE,0,62,650,2
23130,TUR,0,73,182,28,ENGLISH TEACHER,0,165,1000,4
23131,HRV,0,73,174,20,,0,303,1000,4
23132,ESP,0,68,170,2020,,0,13,400,1
23134,AUT,1,48,165,12,,0,3,500,2
23136,GRC,0,68,185,14,ELECTRICIAN,0,135,900,3
23137,CAN,0,0,185,2020,,0,16,700,2
23138,USA,0,73,170,15,STUDENT,0,41,750,2
23140,CHL,0,0,0,25,,0,18,900,3
23141,ITA,0,68,178,31,MANAGER,0,1151,1150,4
23142,USA,0,63,0,15,,1,13,650,2
23143,USA,0,0,0,17,,0,123,950,3
23147,DEU,0,78,176,38,,0,260,650,2
23150,USA,0,78,170,16,STUDENT,0,5,160,1
23151,ITA,0,0,175,15,,0,1,600,2
23152,CAN,0,68,0,18,,0,98,950,3
23153,USA,0,68,175,12,STUDENT,0,66,950,3
23156,ZAF,1,53,162,17,,0,106,850,3
23159,USA,0,0,0,12,,0,49,750,2
